#
# State information.
#
#


# dataset 0: For the stoma (column numbers are in brackets)
# 1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  
t  pore-length  pore-width  stoma-length  stoma-width  pore-area  gc0-height  gc0-width  gc0-ar  gc0-surface-area  gc0-volume  gc1-height  gc1-width  gc1-ar  gc1-surface-area  gc1-volume  
2.969354   21.97195911    7.68206692   50.30208111   37.84210014  118.79860403   14.78516567   15.08001661    0.98044757  2059.44624217  6037.11143912           nan           nan           nan           nan           nan 
3.069115   22.01658726    7.90385389   50.38347530   38.08795118  122.55764464   14.77878413   15.09204865    0.97924308  2069.80154655  6077.35686664           nan           nan           nan           nan           nan 
3.168923   22.06101418    8.11319733   50.46310759   38.32072926  126.13603887   14.77298306   15.10376596    0.97809931  2079.76417833  6116.37407023           nan           nan           nan           nan           nan 
3.268770   22.10517836    8.31163645   50.54095793   38.54163551  129.55078983   14.76770808   15.11499953    0.97702339  2089.43439138  6153.99048875           nan           nan           nan           nan           nan 
3.368648   22.14897442    8.49967432   50.61678791   38.75185823  132.81533569   14.76293960   15.12609196    0.97599166  2098.80564050  6190.41624771           nan           nan           nan           nan           nan 
3.468550   22.19230795    8.67818356   50.69078493   38.95236206  135.94118008   14.75859478   15.13708925    0.97499556  2107.87895278  6225.80657487           nan           nan           nan           nan           nan 
3.568472   22.23511887    8.84797525   50.76312160   39.14398909  138.93924782   14.75475179   15.14800692    0.97403915  2116.69114893  6260.23388998           nan           nan           nan           nan           nan 
3.668409   22.27735424    9.00980854   50.83377552   39.32752848  141.81984980   14.75122981   15.15885997    0.97310944  2125.27282546  6293.64492991           nan           nan           nan           nan           nan 
3.768359   22.31897593    9.16442299   50.90279150   39.50373125  144.59271504   14.74799052   15.16965413    0.97220348  2133.60320583  6326.31919690           nan           nan           nan           nan           nan 
3.868319   22.35992718    9.31250525   50.97020674   39.67325830  147.26684729   14.74499574   15.18037653    0.97131950  2141.73632645  6358.06243135           nan           nan           nan           nan           nan 
3.968287   22.40018034    9.45457506   51.03604889   39.83660698  149.84946974   14.74222133   15.19101596    0.97045658  2149.64692553  6389.08860424           nan           nan           nan           nan           nan 
4.068261   22.43972683    9.59113216   51.10048389   39.99403858  152.34646364   14.73964471   15.20145321    0.96962077  2157.35335210  6419.32545660           nan           nan           nan           nan           nan 
4.168241   22.47860718    9.72244930   51.16349125   40.14590263  154.76239754   14.73729420   15.21172667    0.96881140  2164.88401758  6448.98976679           nan           nan           nan           nan           nan 
4.268224   22.51679039    9.84879065   51.22499371   40.29263210  157.10170838   14.73524272   15.22192073    0.96802782  2172.24493927  6477.96840346           nan           nan           nan           nan           nan 
4.368211   22.55431175    9.97038603   51.28512001   40.43449116  159.36767778   14.73348847   15.23205256    0.96726875  2179.44194225  6506.33397904           nan           nan           nan           nan           nan 
4.468200   22.59124088   10.08751392   51.34431791   40.57176590  161.56421478   14.73201713   15.24212599    0.96653296  2186.49693387  6534.07706776           nan           nan           nan           nan           nan 
4.568192   22.62757111   10.20045662   51.40227222   40.70474339  163.69544985   14.73081565   15.25214338    0.96581938  2193.40367526  6561.36495139           nan           nan           nan           nan           nan 
4.668185   22.66333199   10.30946541   51.45903587   40.83368015  165.76482533   14.72987226   15.26210737    0.96512702  2200.16349257  6588.18759442           nan           nan           nan           nan           nan 
4.768180   22.69848537   10.41478348   51.51456976   40.95882607  167.77581649   14.72917572   15.27202129    0.96445490  2206.80515105  6614.48411607           nan           nan           nan           nan           nan 
4.868176   22.73305750   10.51661968   51.56894875   41.08039379  169.73137965   14.72871563   15.28188705    0.96380215  2213.31277755  6640.37676448           nan           nan           nan           nan           nan 
4.968172   22.76703024   10.61516953   51.62227726   41.19857979  171.63429705   14.72848481   15.29170513    0.96316825  2219.70364889  6665.91166203           nan           nan           nan           nan           nan 
5.000000   22.77771997   10.64588261   51.63903236   41.23552704  172.22942889   14.72845453   15.29482222    0.96296997  2221.71507178  6673.94275456           nan           nan           nan           nan           nan 
